40 619 
1 2 4925.157738
1 3 4076.261817
1 4 3289.801929
1 5 4248.865486
1 7 1093.502028
1 8 2930.268182
1 9 2710.902664
1 10 3110.686477
1 11 3181.267694
1 12 3471.928194
1 15 2232.953785
1 16 1805.454546
1 19 3102.753687
1 20 1121.085165
1 21 675.695174
1 23 1822.627083
1 24 2295.867424
1 26 2846.795452
1 27 5259.430425
1 28 1687.710420
1 29 4200.164412
1 31 3003.726927
1 32 5093.151395
1 34 4395.924782
1 35 924.040278
1 36 2413.397556
1 37 4321.487596
1 38 1889.641452
1 40 4401.600474
2 3 2136.808320
2 4 1827.305507
2 5 2932.435863
2 6 8113.175323
2 7 5432.392693
2 8 7706.937613
2 9 7430.291997
2 10 7993.160888
2 11 8074.193999
2 12 1469.045442
2 13 7351.174443
2 14 7327.732793
2 15 4634.139000
2 16 4775.684258
2 17 6293.798648
2 18 786.368203
2 19 7968.790506
2 20 3975.293338
2 21 5357.703330
2 22 8139.551433
2 24 2779.344437
2 26 2079.526249
2 27 415.380850
2 29 2465.928741
2 30 1658.344859
2 32 208.559370
2 33 5301.668732
2 34 1306.298184
2 36 2511.807833
2 37 609.053144
2 38 3073.329053
2 39 1352.996636
3 4 2447.907245
3 6 6977.669307
3 7 4161.977890
3 8 6408.950975
3 10 6814.380385
3 11 6912.701118
3 12 1575.538424
3 13 5975.679561
3 15 2918.144001
3 16 3207.760685
3 17 5300.359128
3 18 1383.283995
3 19 6763.254224
3 21 4263.439188
3 23 2916.664289
3 24 1856.771969
3 26 1885.132057
3 28 3113.256152
3 29 364.901372
3 31 6780.142154
3 32 2336.559487
3 33 3889.881725
3 34 840.288707
3 36 2147.523067
3 37 1924.190434
3 38 2731.799950
3 39 880.777213
3 40 1087.261428
4 5 3187.222627
4 7 4002.050486
4 8 6189.105347
4 10 6400.426041
4 11 6470.740069
4 12 878.164122
4 14 5833.604771
4 15 3673.715483
4 17 4659.155177
4 19 6390.826872
4 21 3821.981069
4 22 6413.968138
4 23 1472.063453
